# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.299875e-01   7.812636e-13   0.000000e+00   6.807140e-14   72
  1.310112e-01   7.750101e-13   2.784031e-04   7.376521e-14   104
  1.317972e-01   9.871009e-13   2.397687e-09   8.908381e-14   144
  1.335824e-01   9.514043e-13   4.021044e-09   1.057192e-13   96
  1.341721e-01   6.176827e-13   0.000000e+00   4.779771e-14   96
  1.351101e-01   7.266934e-13   2.864148e-04   7.050741e-14   120
  1.359261e-01   6.861185e-13   0.000000e+00   6.248057e-14   120
  1.365057e-01   8.252081e-13   0.000000e+00   1.052721e-13   72
  1.376577e-01   1.111511e-12   0.000000e+00   1.386977e-13   48
  1.382301e-01   8.040055e-13   2.710666e-09   9.731625e-14   78
  1.389623e-01   6.853362e-13   2.564571e-04   5.784953e-14   168
  1.404963e-01   8.143880e-13   2.397687e-09   7.031325e-14   144
  1.410572e-01   8.211163e-13   2.397687e-09   7.412541e-14   144
  1.426839e-01   8.428712e-13   1.476986e-04   6.834544e-14   156
  1.432787e-01   8.744025e-13   3.114687e-09   1.598306e-13   48
  1.438287e-01   7.511015e-13   2.034505e-09   8.350962e-14   120
  1.443766e-01   7.190575e-13   0.000000e+00   1.193748e-13   48
  1.453454e-01   6.009978e-13   2.260797e-04   3.716270e-14   216
  1.465478e-01   5.202756e-13   0.000000e+00   6.340383e-14   48
  1.470856e-01   6.654917e-13   1.798266e-09   8.223455e-14   96
  1.478502e-01   6.225095e-13   2.642094e-04   6.403613e-14   168
  1.486873e-01   6.219497e-13   1.798266e-09   1.102019e-13   48
  1.492174e-01   6.449944e-13   0.000000e+00   7.162671e-14   96
  1.497456e-01   4.046083e-13   0.000000e+00   8.396475e-14   48
  1.507964e-01   5.130079e-13   2.034505e-09   5.105715e-14   30
  1.513191e-01   7.692325e-13   1.798266e-09   1.258712e-13   96
  1.519439e-01   5.693959e-13   2.076451e-04   3.739696e-14   240
  1.527472e-01   9.513713e-13   2.240191e-04   1.791477e-13   32
  1.533921e-01   6.023766e-13   0.000000e+00   4.601091e-14   168
  1.539060e-01   6.802371e-13   0.000000e+00   5.306620e-14   120
  1.549286e-01   8.816846e-13   3.791077e-09   1.301858e-13   72
  1.554374e-01   6.953877e-13   2.397687e-09   6.321301e-14   144
  1.559446e-01   6.026349e-13   0.000000e+00   9.476021e-14   96
  1.564501e-01   4.166142e-13   0.000000e+00   3.799004e-14   96
  1.574562e-01   7.492717e-13   2.936555e-09   8.084844e-14   72
  1.579568e-01   5.707867e-13   2.543132e-09   6.569770e-14   96
  1.589534e-01   6.584420e-13   0.000000e+00   1.476798e-13   24
  1.594494e-01   4.328460e-13   0.000000e+00   3.501135e-14   192
  1.600334e-01   5.077968e-13   1.901066e-04   4.341668e-14   132
  1.609281e-01   5.154536e-13   0.000000e+00   6.047428e-14   96
  1.614180e-01   3.637566e-13   0.000000e+00   4.691968e-14   96
  1.619064e-01   4.936187e-13   2.034505e-09   5.365631e-14   120
  1.628788e-01   3.011350e-13   0.000000e+00   3.317867e-14   48
  1.636759e-01   6.167136e-13   2.303939e-04   5.324376e-14   222
  1.643266e-01   5.271541e-13   0.000000e+00   7.464495e-14   120
  1.648064e-01   4.609218e-13   3.114687e-09   7.349533e-14   24
  1.655050e-01   5.855450e-13   2.378000e-04   3.870915e-14   312
  1.670270e-01   6.538892e-13   2.229470e-04   8.237930e-14   72
