# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.017923e-01   4.312346e-13   1.114566e-04   6.441624e-14   126
  3.023199e-01   3.563492e-13   1.956913e-04   2.591722e-14   492
  3.029938e-01   3.074067e-13   1.253405e-04   2.007621e-14   528
  3.038360e-01   2.950818e-13   1.273190e-04   1.879274e-14   480
  3.043581e-01   2.881551e-13   1.758905e-04   1.588018e-14   432
  3.051137e-01   2.856868e-13   1.383146e-04   1.930482e-14   440
  3.059913e-01   3.466099e-13   6.878330e-05   3.105982e-14   312
  3.063206e-01   2.780449e-13   1.030775e-04   1.634532e-14   480
  3.069960e-01   2.987077e-13   2.018238e-04   2.198588e-14   408
  3.079829e-01   3.565667e-13   1.208696e-04   2.384133e-14   360
  3.083998e-01   2.828428e-13   1.166348e-04   2.054324e-14   408
  3.091725e-01   2.588011e-13   1.186907e-04   1.725807e-14   456
  3.100425e-01   3.243258e-13   1.134390e-04   2.898944e-14   264
  3.105254e-01   3.213452e-13   1.231098e-04   2.075239e-14   384
  3.112283e-01   2.651017e-13   2.072640e-04   1.536554e-14   672
  3.120409e-01   3.491323e-13   1.239707e-04   3.083148e-14   240
  3.125099e-01   2.839751e-13   1.257992e-04   1.911096e-14   264
  3.131717e-01   2.029324e-13   1.551526e-04   1.014574e-14   624
  3.141593e-01   2.764135e-13   0.000000e+00   4.155508e-14   150
  3.145109e-01   3.524803e-13   1.738607e-04   1.987523e-14   600
  3.152524e-01   3.609427e-13   1.199942e-04   2.323938e-14   672
  3.160921e-01   2.634301e-13   1.128630e-04   2.134938e-14   336
  3.165599e-01   3.835654e-13   1.227621e-04   3.369423e-14   408
  3.173072e-01   3.046782e-13   1.224729e-04   2.115992e-14   408
  3.181385e-01   3.663266e-13   6.192886e-05   2.967144e-14   360
  3.186510e-01   3.163215e-13   2.273829e-04   1.749240e-14   456
  3.192699e-01   3.054435e-13   1.236522e-04   2.248455e-14   384
  3.200577e-01   2.052917e-13   1.141466e-04   1.269789e-14   348
  3.204835e-01   3.181478e-13   1.407202e-04   1.734820e-14   576
  3.212832e-01   2.653726e-13   1.158646e-04   1.940377e-14   504
  3.221013e-01   2.515475e-13   1.634203e-04   1.412388e-14   432
  3.228154e-01   3.093704e-13   2.223325e-04   1.536455e-14   576
  3.233247e-01   2.660766e-13   5.231318e-09   2.088864e-14   264
  3.241325e-01   2.716996e-13   1.769212e-04   1.356385e-14   768
  3.248351e-01   1.907229e-13   2.381921e-04   1.237477e-14   240
  3.253937e-01   3.158031e-13   2.100629e-04   3.596930e-14   192
  3.262073e-01   2.266484e-13   1.546319e-04   1.644001e-14   504
  3.268108e-01   3.679873e-13   2.083724e-04   2.531270e-14   590
  3.273894e-01   3.757392e-13   2.334698e-04   3.089394e-14   384
  3.281151e-01   3.220067e-13   1.951120e-04   2.110578e-14   504
  3.289911e-01   3.651262e-13   1.877651e-04   2.886941e-14   648
