# power spectrum of pi_k * H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.299875e-01   6.945001e-13   0.000000e+00   6.695625e-14   72
  1.310112e-01   5.572696e-13   2.784031e-04   4.641196e-14   104
  1.317972e-01   7.620367e-13   2.397687e-09   6.489054e-14   144
  1.335824e-01   8.756382e-13   4.021044e-09   9.441115e-14   96
  1.341721e-01   5.531802e-13   0.000000e+00   6.121110e-14   96
  1.351101e-01   5.432520e-13   2.864148e-04   5.165952e-14   120
  1.359261e-01   5.776567e-13   0.000000e+00   6.379705e-14   120
  1.365057e-01   7.737135e-13   0.000000e+00   7.817451e-14   72
  1.376577e-01   8.546258e-13   0.000000e+00   1.037230e-13   48
  1.382301e-01   4.916488e-13   2.710666e-09   4.800252e-14   78
  1.389623e-01   5.328902e-13   2.564571e-04   3.967475e-14   168
  1.404963e-01   6.378509e-13   2.397687e-09   6.529947e-14   144
  1.410572e-01   7.525112e-13   2.397687e-09   5.625694e-14   144
  1.426839e-01   6.330193e-13   1.476986e-04   4.963398e-14   156
  1.432787e-01   5.298477e-13   3.114687e-09   7.082638e-14   48
  1.438287e-01   5.542527e-13   2.034505e-09   5.487919e-14   120
  1.443766e-01   6.066922e-13   0.000000e+00   8.198227e-14   48
  1.453454e-01   4.645733e-13   2.260797e-04   3.107059e-14   216
  1.465478e-01   4.597002e-13   0.000000e+00   7.313696e-14   48
  1.470856e-01   4.193703e-13   1.798266e-09   5.606765e-14   96
  1.478502e-01   4.754363e-13   2.642094e-04   3.662162e-14   168
  1.486873e-01   3.991740e-13   1.798266e-09   5.262669e-14   48
  1.492174e-01   4.663638e-13   0.000000e+00   4.346375e-14   96
  1.497456e-01   3.205533e-13   0.000000e+00   4.189996e-14   48
  1.507964e-01   3.868626e-13   2.034505e-09   5.818254e-14   30
  1.513191e-01   5.479579e-13   1.798266e-09   5.564093e-14   96
  1.519439e-01   4.833139e-13   2.076451e-04   3.176790e-14   240
  1.527472e-01   4.603121e-13   2.240191e-04   1.022826e-13   32
  1.533921e-01   3.584868e-13   0.000000e+00   2.053084e-14   168
  1.539060e-01   4.806207e-13   0.000000e+00   3.793862e-14   120
  1.549286e-01   5.148997e-13   3.791077e-09   6.028074e-14   72
  1.554374e-01   4.283889e-13   2.397687e-09   3.063540e-14   144
  1.559446e-01   3.858668e-13   0.000000e+00   4.356821e-14   96
  1.564501e-01   3.732885e-13   0.000000e+00   3.997835e-14   96
  1.574562e-01   7.115171e-13   2.936555e-09   8.046647e-14   72
  1.579568e-01   3.999756e-13   2.543132e-09   5.294749e-14   96
  1.589534e-01   5.727494e-13   0.000000e+00   1.545670e-13   24
  1.594494e-01   4.538368e-13   0.000000e+00   3.185779e-14   192
  1.600334e-01   3.554818e-13   1.901066e-04   3.452908e-14   132
  1.609281e-01   2.882554e-13   0.000000e+00   2.689250e-14   96
  1.614180e-01   3.092208e-13   0.000000e+00   2.834159e-14   96
  1.619064e-01   3.545032e-13   2.034505e-09   3.316440e-14   120
  1.628788e-01   3.155546e-13   0.000000e+00   4.225738e-14   48
  1.636759e-01   4.143423e-13   2.303939e-04   2.791452e-14   222
  1.643266e-01   2.947260e-13   0.000000e+00   3.884022e-14   120
  1.648064e-01   2.622408e-13   3.114687e-09   5.042693e-14   24
  1.655050e-01   4.029233e-13   2.378000e-04   2.880533e-14   312
  1.670270e-01   4.424512e-13   2.229470e-04   4.998552e-14   72
  1.676563e-01   4.538378e-13   1.798266e-09   5.566587e-14   96
  1.683024e-01   3.578901e-13   2.270407e-04   3.222895e-14   192
  1.690632e-01   3.133922e-13   2.877225e-09   2.254662e-14   120
  1.695296e-01   3.773587e-13   0.000000e+00   3.421959e-14   144
  1.704585e-01   3.032363e-13   0.000000e+00   4.819174e-14   48
  1.711188e-01   3.265685e-13   2.282974e-04   1.821779e-14   336
  1.718425e-01   2.503901e-13   0.000000e+00   2.465163e-14   48
  1.727590e-01   3.307523e-13   0.000000e+00   2.917584e-14   192
  1.732155e-01   1.931647e-13   0.000000e+00   2.462198e-14   48
  1.745129e-01   2.531432e-13   1.584683e-04   2.951511e-14   56
  1.751580e-01   3.160728e-13   2.035272e-04   1.591235e-14   336
  1.759292e-01   3.731378e-13   2.260561e-09   5.164588e-14   54
  1.766010e-01   3.618087e-13   2.235459e-04   2.556082e-14   240
  1.779956e-01   2.614257e-13   2.140470e-04   1.611367e-14   228
  1.786017e-01   2.217292e-13   2.397687e-09   2.204306e-14   72
  1.791900e-01   3.190067e-13   2.076308e-04   2.967885e-14   144
  1.799230e-01   4.093471e-13   0.000000e+00   4.915866e-14   96
  1.803613e-01   2.698099e-13   2.877225e-09   2.014433e-14   240
  1.812348e-01   2.364323e-13   2.543132e-09   4.468917e-14   24
  1.817939e-01   3.037356e-13   1.961057e-04   1.797652e-14   336
  1.825371e-01   2.293302e-13   0.000000e+00   3.232551e-14   72
  1.832154e-01   2.978368e-13   2.133012e-04   2.326155e-14   168
  1.838302e-01   3.901417e-13   0.000000e+00   2.996299e-14   72
  1.846872e-01   2.869395e-13   0.000000e+00   3.009331e-14   96
  1.853509e-01   1.944153e-13   2.117011e-04   1.316818e-14   216
  1.859653e-01   2.757049e-13   2.543132e-09   2.498622e-14   96
  1.868125e-01   3.110938e-13   0.000000e+00   2.436436e-14   192
  1.872347e-01   2.912180e-13   2.397687e-09   2.137345e-14   144
  1.880762e-01   1.992107e-13   0.000000e+00   2.449860e-14   48
  1.886588e-01   2.858553e-13   2.041047e-04   2.131825e-14   246
  1.894505e-01   2.832280e-13   1.881878e-04   2.097084e-14   168
  1.901637e-01   2.697735e-13   3.523866e-09   2.651198e-14   120
  1.905784e-01   2.646489e-13   0.000000e+00   1.971224e-14   240
  1.914053e-01   3.060046e-13   2.543132e-09   3.813367e-14   24
  1.920640e-01   2.239015e-13   2.014384e-04   1.219508e-14   360
  1.928845e-01   2.995600e-13   2.005812e-04   2.722177e-14   120
  1.934568e-01   2.906660e-13   0.000000e+00   2.411770e-14   144
  1.938645e-01   3.569447e-13   0.000000e+00   3.830774e-14   96
  1.950825e-01   2.478810e-13   0.000000e+00   2.367479e-14   144
  1.954868e-01   2.617151e-13   0.000000e+00   2.003461e-14   132
  1.960551e-01   2.188979e-13   1.979707e-04   1.771332e-14   176
  1.968799e-01   2.076419e-13   1.999105e-04   1.330521e-14   312
  1.978954e-01   1.814646e-13   0.000000e+00   1.825937e-14   96
  1.982940e-01   2.100760e-13   0.000000e+00   1.772888e-14   144
  1.989055e-01   2.226816e-13   1.979053e-04   1.227195e-14   312
  1.998804e-01   9.991666e-14   0.000000e+00   1.210036e-14   48
  2.002750e-01   2.310338e-13   2.543132e-09   1.665347e-14   192
  2.010619e-01   4.674809e-13   0.000000e+00   8.909618e-14   6
  2.015848e-01   2.056901e-13   1.845802e-04   1.461951e-14   288
  2.024316e-01   1.956530e-13   1.950210e-04   1.397902e-14   192
  2.030159e-01   2.237506e-13   4.521123e-09   1.491272e-14   216
  2.034045e-01   2.083105e-13   0.000000e+00   2.703749e-14   72
  2.043725e-01   1.944454e-13   1.931689e-04   1.384394e-14   192
  2.050154e-01   2.091539e-13   1.434383e-04   1.282900e-14   288
  2.057204e-01   1.838832e-13   0.000000e+00   3.943034e-14   24
  2.062650e-01   1.793657e-13   1.889681e-04   9.523368e-15   456
  2.072499e-01   2.537896e-13   0.000000e+00   3.959006e-14   48
  2.078585e-01   2.058217e-13   1.861260e-04   1.343581e-14   240
  2.085579e-01   1.765013e-13   1.881013e-04   1.044943e-14   216
  2.091461e-01   2.309108e-13   0.000000e+00   2.520832e-14   72
  2.095233e-01   2.382143e-13   6.498988e-09   1.889158e-14   168
  2.105882e-01   1.835330e-13   1.398129e-04   1.179821e-14   288
  2.111855e-01   2.101649e-13   1.849965e-04   1.984961e-14   168
  2.121448e-01   1.494360e-13   0.000000e+00   1.414278e-14   192
  2.125166e-01   1.508531e-13   2.397687e-09   1.370568e-14   144
  2.132584e-01   2.588182e-13   0.000000e+00   3.157757e-14   36
  2.138874e-01   1.883597e-13   1.689411e-04   1.111437e-14   342
  2.144889e-01   2.178481e-13   1.734820e-04   1.983458e-14   144
  2.152621e-01   1.875571e-13   1.819392e-04   1.219679e-14   384
  2.162000e-01   1.628221e-13   4.983500e-09   1.646080e-14   120
  2.166643e-01   2.247950e-13   1.622368e-04   1.585381e-14   264
  2.172929e-01   1.776638e-13   8.042088e-09   1.595449e-14   192
  2.178848e-01   1.310741e-13   1.748412e-04   1.218919e-14   152
  2.183802e-01   2.130343e-13   2.397687e-09   2.349923e-14   144
  2.194222e-01   1.541677e-13   1.131589e-04   1.286230e-14   216
  2.199045e-01   1.811507e-13   1.512105e-04   1.114101e-14   312
  2.207535e-01   1.744067e-13   1.752500e-04   1.127866e-14   240
  2.212538e-01   1.277525e-13   2.543132e-09   1.413927e-14   96
  2.222033e-01   1.167199e-13   1.675517e-04   1.166261e-14   144
  2.227885e-01   1.235328e-13   1.646885e-04   6.080342e-15   456
  2.237379e-01   1.224639e-13   0.000000e+00   1.141943e-14   120
  2.240905e-01   1.678541e-13   0.000000e+00   1.748849e-14   144
  2.247941e-01   1.941192e-13   0.000000e+00   3.504725e-14   24
  2.252452e-01   1.328443e-13   1.583038e-04   7.469753e-15   336
  2.260253e-01   1.422759e-13   1.745876e-04   1.036012e-14   198
  2.267563e-01   1.484893e-13   1.697764e-04   9.015901e-15   432
  2.275867e-01   3.153173e-13   0.000000e+00   6.091066e-14   48
  2.280199e-01   1.609590e-13   1.498832e-04   1.037140e-14   384
  2.287976e-01   1.286588e-13   1.725473e-04   1.229989e-14   144
  2.295024e-01   1.774936e-13   1.713168e-04   1.334446e-14   264
  2.303454e-01   1.398247e-13   2.543132e-09   1.601399e-14   48
  2.309110e-01   1.401252e-13   1.628943e-04   9.645770e-15   276
  2.314567e-01   1.259101e-13   1.476593e-04   8.916863e-15   192
  2.321860e-01   1.290403e-13   1.659366e-04   5.729852e-15   552
  2.330715e-01   1.604608e-13   2.877225e-09   2.197623e-14   120
  2.335978e-01   1.144850e-13   1.679687e-04   8.044896e-15   216
  2.340855e-01   1.620808e-13   4.069010e-09   1.672316e-14   120
  2.349569e-01   1.436701e-13   1.654080e-04   6.968741e-15   408
  2.357660e-01   5.065779e-14   3.596531e-09   8.227966e-15   24
  2.362678e-01   1.376269e-13   1.670919e-04   7.242441e-15   384
  2.369685e-01   1.051033e-13   1.632547e-04   6.062875e-15   240
  2.375770e-01   1.251407e-13   1.644502e-04   7.333645e-15   168
  2.384301e-01   1.026459e-13   0.000000e+00   1.501562e-14   120
  2.389801e-01   1.196059e-13   1.714308e-04   7.404483e-15   350
  2.398744e-01   1.639319e-13   2.822081e-04   1.095212e-14   384
  2.404088e-01   1.553580e-13   0.000000e+00   1.761505e-14   144
  2.413921e-01   1.171549e-13   0.000000e+00   8.539422e-15   288
  2.419055e-01   1.358690e-13   1.615394e-04   9.061310e-15   336
  2.426039e-01   1.069816e-13   1.470682e-04   9.348621e-15   168
