# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.310112e-01   2.484785e-01   2.784031e-04   2.213518e-02   104
  1.317972e-01   3.397191e-01   2.397687e-09   3.044050e-02   144
  1.335824e-01   4.108529e-01   4.021044e-09   4.659816e-02   96
  1.341721e-01   2.769740e-01   0.000000e+00   3.287709e-02   96
  1.351101e-01   2.671475e-01   2.864148e-04   2.654721e-02   120
  1.359261e-01   2.903778e-01   0.000000e+00   3.311193e-02   120
  1.365057e-01   3.880723e-01   0.000000e+00   4.034464e-02   72
  1.376577e-01   4.450475e-01   0.000000e+00   5.891697e-02   48
  1.382301e-01   2.628888e-01   2.710666e-09   2.714268e-02   78
  1.389623e-01   2.860154e-01   2.564571e-04   2.227901e-02   168
  1.404963e-01   3.506189e-01   2.397687e-09   3.746222e-02   144
  1.410572e-01   4.182771e-01   2.397687e-09   3.217552e-02   144
  1.426839e-01   3.754876e-01   1.476986e-04   3.047136e-02   156
  1.432787e-01   3.039544e-01   3.114687e-09   4.112012e-02   48
  1.438287e-01   3.319356e-01   2.034505e-09   3.370094e-02   120
  1.443766e-01   3.782488e-01   0.000000e+00   5.539739e-02   48
  1.453454e-01   2.967402e-01   2.260797e-04   2.099997e-02   216
  1.465478e-01   3.038534e-01   0.000000e+00   4.995670e-02   48
  1.470856e-01   2.743546e-01   1.798266e-09   3.734280e-02   96
  1.478502e-01   3.207103e-01   2.642094e-04   2.499628e-02   168
  1.486873e-01   2.764284e-01   1.798266e-09   3.876307e-02   48
  1.492174e-01   3.133589e-01   0.000000e+00   2.978447e-02   96
  1.497456e-01   2.311576e-01   0.000000e+00   3.165836e-02   48
  1.507964e-01   2.825276e-01   2.034505e-09   4.687208e-02   30
  1.513191e-01   3.827727e-01   1.798266e-09   3.868250e-02   96
  1.519439e-01   3.530539e-01   2.076451e-04   2.466788e-02   240
  1.527472e-01   3.181218e-01   2.240191e-04   6.978817e-02   32
  1.533921e-01   2.750601e-01   0.000000e+00   1.648316e-02   168
  1.539060e-01   3.638044e-01   0.000000e+00   3.021438e-02   120
  1.549286e-01   3.890140e-01   3.791077e-09   4.814364e-02   72
  1.554374e-01   3.355806e-01   2.397687e-09   2.507827e-02   144
  1.559446e-01   2.960163e-01   0.000000e+00   3.425204e-02   96
  1.564501e-01   3.087918e-01   0.000000e+00   3.508604e-02   96
  1.574562e-01   5.624337e-01   2.936555e-09   6.597947e-02   72
