# power spectrum of delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.310112e-01   2.799915e-04   2.784031e-04   2.295397e-05   104
  1.317972e-01   3.879469e-04   2.397687e-09   3.162159e-05   144
  1.335824e-01   4.638166e-04   4.021044e-09   4.834496e-05   96
  1.341721e-01   3.110054e-04   0.000000e+00   3.377481e-05   96
  1.351101e-01   3.048800e-04   2.864148e-04   2.808103e-05   120
  1.359261e-01   3.270367e-04   0.000000e+00   3.462754e-05   120
  1.365057e-01   4.427045e-04   0.000000e+00   4.302077e-05   72
  1.376577e-01   4.988761e-04   0.000000e+00   5.936554e-05   48
  1.382301e-01   2.986240e-04   2.710666e-09   2.830913e-05   78
  1.389623e-01   3.235915e-04   2.564571e-04   2.321245e-05   168
  1.404963e-01   3.970273e-04   2.397687e-09   3.860335e-05   144
  1.410572e-01   4.725753e-04   2.397687e-09   3.381331e-05   144
  1.426839e-01   4.235633e-04   1.476986e-04   3.200585e-05   156
  1.432787e-01   3.466208e-04   3.114687e-09   4.374607e-05   48
  1.438287e-01   3.747553e-04   2.034505e-09   3.542957e-05   120
  1.443766e-01   4.267743e-04   0.000000e+00   5.679374e-05   48
  1.453454e-01   3.312242e-04   2.260797e-04   2.143809e-05   216
  1.465478e-01   3.415991e-04   0.000000e+00   5.213966e-05   48
  1.470856e-01   3.085575e-04   1.798266e-09   3.930048e-05   96
  1.478502e-01   3.583378e-04   2.642094e-04   2.618595e-05   168
  1.486873e-01   3.090116e-04   1.798266e-09   3.967867e-05   48
  1.492174e-01   3.550970e-04   0.000000e+00   3.164754e-05   96
  1.497456e-01   2.605461e-04   0.000000e+00   3.304897e-05   48
  1.507964e-01   3.189690e-04   2.034505e-09   4.770151e-05   30
  1.513191e-01   4.353679e-04   1.798266e-09   4.136521e-05   96
  1.519439e-01   3.948639e-04   2.076451e-04   2.518566e-05   240
  1.527472e-01   3.615482e-04   2.240191e-04   7.523704e-05   32
  1.533921e-01   3.053014e-04   0.000000e+00   1.680751e-05   168
  1.539060e-01   4.113017e-04   0.000000e+00   3.145862e-05   120
  1.549286e-01   4.460349e-04   3.791077e-09   5.109986e-05   72
  1.554374e-01   3.809505e-04   2.397687e-09   2.636864e-05   144
  1.559446e-01   3.328977e-04   0.000000e+00   3.581754e-05   96
  1.564501e-01   3.444455e-04   0.000000e+00   3.582899e-05   96
  1.574562e-01   6.301005e-04   2.936555e-09   6.888173e-05   72
