# power spectrum of zeta (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.299875e-01   6.233073e-12   0.000000e+00   5.971530e-13   72
  1.310112e-01   5.099039e-12   2.784031e-04   4.159457e-13   104
  1.317972e-01   6.492633e-12   2.397687e-09   5.427134e-13   144
  1.335824e-01   7.738759e-12   4.021044e-09   8.270092e-13   96
  1.341721e-01   5.021906e-12   0.000000e+00   5.530393e-13   96
  1.351101e-01   4.677613e-12   2.864148e-04   4.111258e-13   120
  1.359261e-01   5.170111e-12   0.000000e+00   5.232493e-13   120
  1.365057e-01   6.596268e-12   0.000000e+00   6.108147e-13   72
  1.376577e-01   7.758586e-12   0.000000e+00   9.924674e-13   48
  1.382301e-01   4.216288e-12   2.710666e-09   3.962216e-13   78
  1.389623e-01   4.672702e-12   2.564571e-04   3.344422e-13   168
  1.404963e-01   5.530460e-12   2.397687e-09   5.874974e-13   144
  1.410572e-01   6.592270e-12   2.397687e-09   4.697277e-13   144
  1.426839e-01   5.538061e-12   1.476986e-04   4.113864e-13   156
  1.432787e-01   4.407083e-12   3.114687e-09   5.465537e-13   48
  1.438287e-01   4.811494e-12   2.034505e-09   4.398841e-13   120
  1.443766e-01   5.299512e-12   0.000000e+00   7.628866e-13   48
  1.453454e-01   4.268701e-12   2.260797e-04   2.844662e-13   216
  1.465478e-01   4.174360e-12   0.000000e+00   6.450848e-13   48
  1.470856e-01   3.779703e-12   1.798266e-09   4.372276e-13   96
  1.478502e-01   4.295399e-12   2.642094e-04   3.016625e-13   168
  1.486873e-01   3.738103e-12   1.798266e-09   4.887334e-13   48
  1.492174e-01   4.047965e-12   0.000000e+00   3.418376e-13   96
  1.497456e-01   2.773991e-12   0.000000e+00   3.552509e-13   48
  1.507964e-01   3.272231e-12   2.034505e-09   4.995028e-13   30
  1.513191e-01   4.523108e-12   1.798266e-09   3.899568e-13   96
  1.519439e-01   4.342012e-12   2.076451e-04   2.853042e-13   240
  1.527472e-01   3.627434e-12   2.240191e-04   6.465882e-13   32
  1.533921e-01   3.376570e-12   0.000000e+00   1.932313e-13   168
  1.539060e-01   3.982001e-12   0.000000e+00   3.079356e-13   120
  1.549286e-01   4.154674e-12   3.791077e-09   4.559601e-13   72
  1.554374e-01   3.576679e-12   2.397687e-09   2.413608e-13   144
  1.559446e-01   3.454742e-12   0.000000e+00   3.644686e-13   96
  1.564501e-01   3.357137e-12   0.000000e+00   3.475496e-13   96
  1.574562e-01   6.306521e-12   2.936555e-09   6.543333e-13   72
  1.579568e-01   3.377958e-12   2.543132e-09   4.266388e-13   96
  1.589534e-01   5.250841e-12   0.000000e+00   1.568417e-12   24
  1.594494e-01   4.030490e-12   0.000000e+00   2.656627e-13   192
  1.600334e-01   3.133008e-12   1.901066e-04   2.807684e-13   132
  1.609281e-01   2.732261e-12   0.000000e+00   2.335245e-13   96
