# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.310112e-01   3.368969e-22   2.784031e-04   2.270753e-23   104
  1.317972e-01   3.403416e-22   2.397687e-09   2.062574e-23   144
  1.335824e-01   2.818940e-22   4.021044e-09   2.027868e-23   96
  1.341721e-01   2.613675e-22   0.000000e+00   2.164113e-23   96
  1.351101e-01   3.000968e-22   2.864148e-04   1.581184e-23   120
  1.359261e-01   3.189275e-22   0.000000e+00   2.134656e-23   120
  1.365057e-01   2.751308e-22   0.000000e+00   2.142685e-23   72
  1.376577e-01   3.061246e-22   0.000000e+00   2.821785e-23   48
  1.382301e-01   2.638746e-22   2.710666e-09   1.554327e-23   78
  1.389623e-01   2.623902e-22   2.564571e-04   1.323034e-23   168
  1.404963e-01   2.486187e-22   2.397687e-09   1.473957e-23   144
  1.410572e-01   2.268136e-22   2.397687e-09   1.297039e-23   144
  1.426839e-01   1.774060e-22   1.476986e-04   1.005642e-23   156
  1.432787e-01   2.161782e-22   3.114687e-09   1.672014e-23   48
  1.438287e-01   2.022878e-22   2.034505e-09   1.164169e-23   120
  1.443766e-01   2.498980e-22   0.000000e+00   2.255997e-23   48
  1.453454e-01   2.022666e-22   2.260797e-04   8.832414e-24   216
  1.465478e-01   1.777485e-22   0.000000e+00   1.554132e-23   48
  1.470856e-01   1.810325e-22   1.798266e-09   1.178353e-23   96
  1.478502e-01   1.970707e-22   2.642094e-04   9.789570e-24   168
  1.486873e-01   1.559723e-22   1.798266e-09   1.861061e-23   48
  1.492174e-01   2.162850e-22   0.000000e+00   1.377836e-23   96
  1.497456e-01   1.750883e-22   0.000000e+00   1.577367e-23   48
  1.507964e-01   1.549438e-22   2.034505e-09   1.699687e-23   30
  1.513191e-01   1.708955e-22   1.798266e-09   1.209569e-23   96
  1.519439e-01   1.507665e-22   2.076451e-04   6.519822e-24   240
  1.527472e-01   1.525364e-22   2.240191e-04   1.815192e-23   32
  1.533921e-01   1.513002e-22   0.000000e+00   8.731113e-24   168
  1.539060e-01   1.438682e-22   0.000000e+00   9.952295e-24   120
  1.549286e-01   1.517011e-22   3.791077e-09   1.401507e-23   72
  1.554374e-01   1.368567e-22   2.397687e-09   7.734437e-24   144
  1.559446e-01   1.422399e-22   0.000000e+00   9.577115e-24   96
  1.564501e-01   1.342551e-22   0.000000e+00   7.106829e-24   96
  1.574562e-01   1.858372e-22   2.936555e-09   1.252046e-23   72
  1.579568e-01   1.449505e-22   2.543132e-09   1.047729e-23   96
  1.589534e-01   1.527390e-22   0.000000e+00   2.468512e-23   24
  1.594494e-01   1.378920e-22   0.000000e+00   6.457641e-24   192
  1.600334e-01   1.470963e-22   1.901066e-04   9.326501e-24   132
  1.609281e-01   1.161553e-22   0.000000e+00   8.241465e-24   96
  1.614180e-01   1.174344e-22   0.000000e+00   8.017521e-24   96
  1.619064e-01   1.242896e-22   2.034505e-09   7.452082e-24   120
  1.628788e-01   1.083101e-22   0.000000e+00   9.182862e-24   48
  1.636759e-01   1.210953e-22   2.303939e-04   5.920271e-24   222
  1.643266e-01   1.271659e-22   0.000000e+00   8.476377e-24   120
  1.648064e-01   1.071344e-22   3.114687e-09   1.721810e-23   24
  1.655050e-01   1.207123e-22   2.378000e-04   4.982804e-24   312
  1.670270e-01   1.071893e-22   2.229470e-04   7.803394e-24   72
  1.676563e-01   1.066873e-22   1.798266e-09   5.581484e-24   96
  1.683024e-01   9.468481e-23   2.270407e-04   4.281283e-24   192
  1.690632e-01   1.154249e-22   2.877225e-09   7.051262e-24   120
  1.695296e-01   1.020674e-22   0.000000e+00   5.952708e-24   144
  1.704585e-01   8.407134e-23   0.000000e+00   7.191708e-24   48
  1.711188e-01   9.883904e-23   2.282974e-04   3.609764e-24   336
  1.718425e-01   1.041764e-22   0.000000e+00   1.090379e-23   48
  1.727590e-01   8.618561e-23   0.000000e+00   3.750884e-24   192
  1.732155e-01   8.667027e-23   0.000000e+00   7.434831e-24   48
  1.745129e-01   6.686437e-23   1.584683e-04   5.424569e-24   56
  1.751580e-01   8.644429e-23   2.035272e-04   3.215508e-24   336
  1.759292e-01   7.170921e-23   2.260561e-09   4.203597e-24   54
  1.766010e-01   7.933908e-23   2.235459e-04   3.357448e-24   240
  1.779956e-01   9.163860e-23   2.140470e-04   4.059095e-24   228
  1.786017e-01   6.735127e-23   2.397687e-09   5.839883e-24   72
  1.791900e-01   8.180744e-23   2.076308e-04   4.587368e-24   144
  1.799230e-01   1.018631e-22   0.000000e+00   8.397747e-24   96
  1.803613e-01   6.781192e-23   2.877225e-09   2.874240e-24   240
  1.812348e-01   8.537040e-23   2.543132e-09   1.005230e-23   24
  1.817939e-01   7.308474e-23   1.961057e-04   2.878293e-24   336
  1.825371e-01   6.019033e-23   0.000000e+00   4.763307e-24   72
  1.832154e-01   7.335250e-23   2.133012e-04   3.704271e-24   168
  1.838302e-01   8.393462e-23   0.000000e+00   6.302552e-24   72
  1.846872e-01   6.609133e-23   0.000000e+00   5.862734e-24   96
  1.853509e-01   6.630399e-23   2.117011e-04   3.534386e-24   216
  1.859653e-01   6.560346e-23   2.543132e-09   4.721183e-24   96
  1.868125e-01   5.996546e-23   0.000000e+00   2.868467e-24   192
  1.872347e-01   7.650150e-23   2.397687e-09   4.345305e-24   144
  1.880762e-01   5.613429e-23   0.000000e+00   5.706197e-24   48
  1.886588e-01   6.692553e-23   2.041047e-04   3.499454e-24   246
  1.894505e-01   5.514607e-23   1.881878e-04   2.773311e-24   168
  1.901637e-01   6.877871e-23   3.523866e-09   5.468366e-24   120
  1.905784e-01   5.632459e-23   0.000000e+00   2.575664e-24   240
  1.914053e-01   6.687267e-23   2.543132e-09   1.346902e-23   24
  1.920640e-01   6.133553e-23   2.014384e-04   2.547553e-24   360
  1.928845e-01   6.365412e-23   2.005812e-04   3.982978e-24   120
  1.934568e-01   5.590899e-23   0.000000e+00   2.988934e-24   144
  1.938645e-01   5.636605e-23   0.000000e+00   5.161211e-24   96
  1.950825e-01   4.479285e-23   0.000000e+00   2.356783e-24   144
  1.954868e-01   4.890467e-23   0.000000e+00   3.683836e-24   132
  1.960551e-01   4.884398e-23   1.979707e-04   2.430570e-24   176
  1.968799e-01   4.797956e-23   1.999105e-04   1.709822e-24   312
  1.978954e-01   4.847915e-23   0.000000e+00   3.963463e-24   96
  1.982940e-01   4.266265e-23   0.000000e+00   2.296085e-24   144
  1.989055e-01   5.020942e-23   1.979053e-04   1.978285e-24   312
  1.998804e-01   4.611220e-23   0.000000e+00   4.479906e-24   48
  2.002750e-01   4.695071e-23   2.543132e-09   2.275959e-24   192
  2.010619e-01   5.440241e-23   0.000000e+00   1.521842e-23   6
  2.015848e-01   4.423217e-23   1.845802e-04   1.976280e-24   288
  2.024316e-01   4.635218e-23   1.950210e-04   2.413848e-24   192
  2.030159e-01   4.984680e-23   4.521123e-09   2.090059e-24   216
  2.034045e-01   4.398831e-23   0.000000e+00   3.143228e-24   72
  2.043725e-01   4.844793e-23   1.931689e-04   2.099909e-24   192
  2.050154e-01   4.232790e-23   1.434383e-04   2.069121e-24   288
  2.057204e-01   4.414104e-23   0.000000e+00   7.075491e-24   24
  2.062650e-01   4.099647e-23   1.889681e-04   1.275821e-24   456
  2.072499e-01   3.725305e-23   0.000000e+00   4.006124e-24   48
  2.078585e-01   4.382348e-23   1.861260e-04   1.735025e-24   240
  2.085579e-01   4.397122e-23   1.881013e-04   1.897490e-24   216
  2.091461e-01   3.873460e-23   0.000000e+00   3.765942e-24   72
  2.095233e-01   3.788912e-23   6.498988e-09   1.850538e-24   168
  2.105882e-01   3.801369e-23   1.398129e-04   1.452197e-24   288
  2.111855e-01   3.572897e-23   1.849965e-04   2.003556e-24   168
