# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.310112e-01   2.552156e-12   2.784031e-04   2.148531e-13   104
  1.317972e-01   3.425816e-12   2.397687e-09   3.013421e-13   144
  1.335824e-01   3.957746e-12   4.021044e-09   4.340486e-13   96
  1.341721e-01   2.486756e-12   0.000000e+00   2.815801e-13   96
  1.351101e-01   2.397307e-12   2.864148e-04   2.310710e-13   120
  1.359261e-01   2.576744e-12   0.000000e+00   2.872765e-13   120
  1.365057e-01   3.403471e-12   0.000000e+00   3.457977e-13   72
  1.376577e-01   3.810706e-12   0.000000e+00   4.789845e-13   48
  1.382301e-01   2.137954e-12   2.710666e-09   2.136384e-13   78
  1.389623e-01   2.330871e-12   2.564571e-04   1.774729e-13   168
  1.404963e-01   2.769606e-12   2.397687e-09   2.921199e-13   144
  1.410572e-01   3.271723e-12   2.397687e-09   2.465447e-13   144
  1.426839e-01   2.733684e-12   1.476986e-04   2.159229e-13   156
  1.432787e-01   2.257078e-12   3.114687e-09   3.048966e-13   48
  1.438287e-01   2.379442e-12   2.034505e-09   2.374576e-13   120
  1.443766e-01   2.592516e-12   0.000000e+00   3.583927e-13   48
  1.453454e-01   1.998933e-12   2.260797e-04   1.359951e-13   216
  1.465478e-01   1.942239e-12   0.000000e+00   3.099764e-13   48
  1.470856e-01   1.777263e-12   1.798266e-09   2.400217e-13   96
  1.478502e-01   2.015859e-12   2.642094e-04   1.552288e-13   168
  1.486873e-01   1.688169e-12   1.798266e-09   2.255851e-13   48
  1.492174e-01   1.942257e-12   0.000000e+00   1.818398e-13   96
  1.497456e-01   1.331883e-12   0.000000e+00   1.756412e-13   48
  1.507964e-01   1.595929e-12   2.034505e-09   2.485731e-13   30
  1.513191e-01   2.261403e-12   1.798266e-09   2.324308e-13   96
  1.519439e-01   2.018708e-12   2.076451e-04   1.360318e-13   240
  1.527472e-01   1.908879e-12   2.240191e-04   4.273777e-13   32
  1.533921e-01   1.496471e-12   0.000000e+00   8.673618e-14   168
  1.539060e-01   1.971853e-12   0.000000e+00   1.585632e-13   120
  1.549286e-01   2.069662e-12   3.791077e-09   2.464172e-13   72
  1.554374e-01   1.740619e-12   2.397687e-09   1.265685e-13   144
  1.559446e-01   1.584852e-12   0.000000e+00   1.800776e-13   96
  1.564501e-01   1.522036e-12   0.000000e+00   1.661118e-13   96
  1.574562e-01   2.909506e-12   2.936555e-09   3.306910e-13   72
  1.579568e-01   1.615165e-12   2.543132e-09   2.171524e-13   96
  1.589534e-01   2.304352e-12   0.000000e+00   6.384278e-13   24
  1.594494e-01   1.835174e-12   0.000000e+00   1.304147e-13   192
  1.600334e-01   1.416499e-12   1.901066e-04   1.387229e-13   132
  1.609281e-01   1.181973e-12   0.000000e+00   1.100180e-13   96
  1.614180e-01   1.240145e-12   0.000000e+00   1.159277e-13   96
  1.619064e-01   1.402150e-12   2.034505e-09   1.344777e-13   120
  1.628788e-01   1.272396e-12   0.000000e+00   1.712169e-13   48
  1.636759e-01   1.651022e-12   2.303939e-04   1.125998e-13   222
  1.643266e-01   1.152281e-12   0.000000e+00   1.510463e-13   120
  1.648064e-01   1.028980e-12   3.114687e-09   2.043105e-13   24
  1.655050e-01   1.586060e-12   2.378000e-04   1.147957e-13   312
  1.670270e-01   1.740421e-12   2.229470e-04   1.973342e-13   72
  1.676563e-01   1.781816e-12   1.798266e-09   2.204570e-13   96
  1.683024e-01   1.398126e-12   2.270407e-04   1.285418e-13   192
  1.690632e-01   1.237539e-12   2.877225e-09   8.978513e-14   120
  1.695296e-01   1.469524e-12   0.000000e+00   1.343231e-13   144
  1.704585e-01   1.193181e-12   0.000000e+00   1.896820e-13   48
  1.711188e-01   1.260866e-12   2.282974e-04   7.192399e-14   336
  1.718425e-01   9.612511e-13   0.000000e+00   9.550623e-14   48
  1.727590e-01   1.260185e-12   0.000000e+00   1.134037e-13   192
  1.732155e-01   7.340324e-13   0.000000e+00   9.486107e-14   48
  1.745129e-01   9.440172e-13   1.584683e-04   1.098815e-13   56
  1.751580e-01   1.199145e-12   2.035272e-04   6.157077e-14   336
  1.759292e-01   1.386955e-12   2.260561e-09   1.955748e-13   54
  1.766010e-01   1.359455e-12   2.235459e-04   9.725107e-14   240
  1.779956e-01   9.760788e-13   2.140470e-04   6.114793e-14   228
  1.786017e-01   8.331250e-13   2.397687e-09   8.393998e-14   72
  1.791900e-01   1.202113e-12   2.076308e-04   1.126430e-13   144
  1.799230e-01   1.526787e-12   0.000000e+00   1.880882e-13   96
  1.803613e-01   1.006682e-12   2.877225e-09   7.712265e-14   240
  1.812348e-01   8.949973e-13   2.543132e-09   1.730498e-13   24
  1.817939e-01   1.134615e-12   1.961057e-04   6.808485e-14   336
  1.825371e-01   8.479790e-13   0.000000e+00   1.201832e-13   72
  1.832154e-01   1.107830e-12   2.133012e-04   8.802797e-14   168
  1.838302e-01   1.468759e-12   0.000000e+00   1.164441e-13   72
  1.846872e-01   1.060573e-12   0.000000e+00   1.107554e-13   96
  1.853509e-01   7.146969e-13   2.117011e-04   4.934420e-14   216
  1.859653e-01   9.928832e-13   2.543132e-09   9.337157e-14   96
  1.868125e-01   1.124564e-12   0.000000e+00   9.053971e-14   192
  1.872347e-01   1.067584e-12   2.397687e-09   8.016351e-14   144
  1.880762e-01   7.086450e-13   0.000000e+00   8.914262e-14   48
  1.886588e-01   1.038826e-12   2.041047e-04   7.929126e-14   246
  1.894505e-01   1.033072e-12   1.881878e-04   7.806861e-14   168
  1.901637e-01   9.800379e-13   3.523866e-09   9.874892e-14   120
  1.905784e-01   9.626843e-13   0.000000e+00   7.314118e-14   240
  1.914053e-01   1.148823e-12   2.543132e-09   1.381512e-13   24
  1.920640e-01   8.163514e-13   2.014384e-04   4.522700e-14   360
  1.928845e-01   1.091893e-12   2.005812e-04   1.010077e-13   120
  1.934568e-01   1.037200e-12   0.000000e+00   8.509292e-14   144
  1.938645e-01   1.291293e-12   0.000000e+00   1.384729e-13   96
  1.950825e-01   8.852269e-13   0.000000e+00   8.665838e-14   144
  1.954868e-01   9.295094e-13   0.000000e+00   7.417612e-14   132
  1.960551e-01   7.736051e-13   1.979707e-04   6.452285e-14   176
  1.968799e-01   7.243024e-13   1.999105e-04   4.674805e-14   312
  1.978954e-01   6.454512e-13   0.000000e+00   6.530131e-14   96
  1.982940e-01   7.378529e-13   0.000000e+00   6.277073e-14   144
  1.989055e-01   7.822782e-13   1.979053e-04   4.388366e-14   312
  1.998804e-01   3.514553e-13   0.000000e+00   4.225912e-14   48
  2.002750e-01   8.060101e-13   2.543132e-09   5.879014e-14   192
  2.010619e-01   1.649248e-12   0.000000e+00   2.993212e-13   6
  2.015848e-01   7.266222e-13   1.845802e-04   5.184216e-14   288
  2.024316e-01   6.835999e-13   1.950210e-04   4.954746e-14   192
  2.030159e-01   7.781275e-13   4.521123e-09   5.300422e-14   216
  2.034045e-01   7.270830e-13   0.000000e+00   9.492339e-14   72
  2.043725e-01   6.720679e-13   1.931689e-04   4.847021e-14   192
  2.050154e-01   7.249703e-13   1.434383e-04   4.507166e-14   288
  2.057204e-01   6.427084e-13   0.000000e+00   1.414127e-13   24
  2.062650e-01   6.195269e-13   1.889681e-04   3.352456e-14   456
  2.072499e-01   8.668539e-13   0.000000e+00   1.370347e-13   48
  2.078585e-01   6.999304e-13   1.861260e-04   4.589665e-14   240
  2.085579e-01   6.018007e-13   1.881013e-04   3.637262e-14   216
  2.091461e-01   7.901018e-13   0.000000e+00   8.702663e-14   72
  2.095233e-01   8.069364e-13   6.498988e-09   6.535534e-14   168
  2.105882e-01   6.243752e-13   1.398129e-04   4.054455e-14   288
  2.111855e-01   7.135924e-13   1.849965e-04   6.821478e-14   168
  2.121448e-01   4.984581e-13   0.000000e+00   4.832519e-14   192
  2.125166e-01   5.124060e-13   2.397687e-09   4.655788e-14   144
  2.132584e-01   8.674302e-13   0.000000e+00   1.060545e-13   36
  2.138874e-01   6.347651e-13   1.689411e-04   3.828668e-14   342
  2.144889e-01   7.309257e-13   1.734820e-04   6.817551e-14   144
  2.152621e-01   6.288554e-13   1.819392e-04   4.204552e-14   384
  2.162000e-01   5.403917e-13   4.983500e-09   5.623367e-14   120
  2.166643e-01   7.513692e-13   1.622368e-04   5.374968e-14   264
  2.172929e-01   5.860301e-13   8.042088e-09   5.377919e-14   192
  2.178848e-01   4.394143e-13   1.748412e-04   4.091119e-14   152
  2.183802e-01   7.016609e-13   2.397687e-09   7.961273e-14   144
  2.194222e-01   5.139574e-13   1.131589e-04   4.365787e-14   216
  2.199045e-01   5.963374e-13   1.512105e-04   3.739296e-14   312
  2.207535e-01   5.736956e-13   1.752500e-04   3.739090e-14   240
  2.212538e-01   4.227525e-13   2.543132e-09   4.732710e-14   96
  2.222033e-01   3.855100e-13   1.675517e-04   3.874746e-14   144
  2.227885e-01   4.041427e-13   1.646885e-04   2.021293e-14   456
  2.237379e-01   4.021715e-13   0.000000e+00   3.794266e-14   120
  2.240905e-01   5.441397e-13   0.000000e+00   5.885556e-14   144
  2.247941e-01   6.349342e-13   0.000000e+00   1.173279e-13   24
  2.252452e-01   4.284605e-13   1.583038e-04   2.446634e-14   336
  2.260253e-01   4.674482e-13   1.745876e-04   3.409218e-14   198
  2.267563e-01   4.813818e-13   1.697764e-04   2.981418e-14   432
  2.275867e-01   1.001628e-12   0.000000e+00   1.926602e-13   48
  2.280199e-01   5.149151e-13   1.498832e-04   3.362647e-14   384
  2.287976e-01   4.058068e-13   1.725473e-04   3.945603e-14   144
  2.295024e-01   5.730353e-13   1.713168e-04   4.452472e-14   264
  2.303454e-01   4.543030e-13   2.543132e-09   5.139234e-14   48
  2.309110e-01   4.461921e-13   1.628943e-04   3.141671e-14   276
  2.314567e-01   3.971301e-13   1.476593e-04   2.847843e-14   192
  2.321860e-01   4.094333e-13   1.659366e-04   1.852031e-14   552
  2.330715e-01   5.181115e-13   2.877225e-09   7.303704e-14   120
  2.335978e-01   3.609743e-13   1.679687e-04   2.542693e-14   216
  2.340855e-01   5.158088e-13   4.069010e-09   5.370294e-14   120
  2.349569e-01   4.519621e-13   1.654080e-04   2.240714e-14   408
  2.357660e-01   1.531064e-13   3.596531e-09   2.586746e-14   24
  2.362678e-01   4.295492e-13   1.670919e-04   2.292595e-14   384
  2.369685e-01   3.333741e-13   1.632547e-04   1.930606e-14   240
  2.375770e-01   3.967256e-13   1.644502e-04   2.358831e-14   168
  2.384301e-01   3.203939e-13   0.000000e+00   4.849202e-14   120
  2.389801e-01   3.714642e-13   1.714308e-04   2.363486e-14   350
  2.398744e-01   5.091403e-13   2.822081e-04   3.489161e-14   384
  2.404088e-01   4.847056e-13   0.000000e+00   5.600915e-14   144
  2.413921e-01   3.654651e-13   0.000000e+00   2.756752e-14   288
  2.419055e-01   4.225334e-13   1.615394e-04   2.827527e-14   336
  2.426039e-01   3.268698e-13   1.470682e-04   2.881658e-14   168
  2.430220e-01   4.465202e-13   6.498988e-09   3.104043e-14   336
  2.438868e-01   3.043254e-13   1.526480e-04   2.455213e-14   288
  2.444062e-01   4.261503e-13   1.438335e-04   3.350456e-14   264
  2.452858e-01   3.748547e-13   0.000000e+00   3.174011e-14   240
  2.456075e-01   3.163001e-13   3.596531e-09   3.204201e-14   96
  2.467620e-01   3.946736e-13   1.956039e-04   2.271031e-14   360
  2.473008e-01   4.622440e-13   1.441936e-04   5.538811e-14   168
  2.479816e-01   3.433619e-13   1.571860e-04   1.951986e-14   456
  2.488014e-01   3.890723e-13   3.196917e-09   4.655700e-14   108
  2.492626e-01   2.586360e-13   1.577159e-04   1.732296e-14   264
  2.498378e-01   2.759894e-13   1.407083e-04   1.843798e-14   264
  2.506256e-01   3.102687e-13   1.327788e-04   1.900574e-14   312
  2.516065e-01   3.359249e-13   9.866910e-05   2.467309e-14   270
  2.520176e-01   4.069066e-13   1.252729e-04   3.191077e-14   240
  2.527567e-01   3.625644e-13   1.549783e-04   2.751893e-14   384
  2.532054e-01   3.079585e-13   3.596531e-09   2.471164e-14   192
  2.540769e-01   3.470678e-13   1.243495e-04   2.465116e-14   240
  2.545825e-01   3.494161e-13   1.534673e-04   2.010502e-14   336
  2.555333e-01   3.222371e-13   1.544942e-04   1.586769e-14   480
  2.563047e-01   6.037106e-13   5.873111e-09   1.244327e-13   72
  2.567356e-01   3.469309e-13   1.506459e-04   2.489953e-14   240
  2.573216e-01   3.413072e-13   1.415865e-04   2.433772e-14   312
  2.579934e-01   2.443284e-13   1.530210e-04   1.697143e-14   240
  2.590086e-01   3.289049e-13   1.162564e-04   1.648208e-14   408
  2.594104e-01   3.020485e-13   1.064628e-04   1.882597e-14   336
  2.601958e-01   3.341708e-13   1.351816e-04   2.632138e-14   264
  2.605818e-01   2.189236e-13   0.000000e+00   1.926009e-14   144
  2.616557e-01   2.573006e-13   1.873697e-04   1.335338e-14   464
  2.622215e-01   2.577355e-13   1.489973e-04   2.178715e-14   168
  2.627801e-01   2.382356e-13   1.357041e-04   1.483855e-14   336
  2.637897e-01   3.081610e-13   1.425837e-04   1.830886e-14   414
  2.643588e-01   3.042114e-13   1.484211e-04   2.519078e-14   216
  2.650879e-01   5.131857e-13   3.596531e-09   6.141341e-14   96
  2.653856e-01   3.181517e-13   8.042088e-09   2.138918e-14   384
  2.664284e-01   3.165946e-13   1.481344e-04   1.728605e-14   492
  2.669873e-01   3.698365e-13   1.448627e-04   3.337184e-14   240
  2.676189e-01   2.410971e-13   1.470864e-04   1.685631e-14   312
  2.684913e-01   2.245487e-13   1.470380e-04   2.479888e-14   192
  2.690439e-01   2.351813e-13   1.424976e-04   1.431876e-14   504
  2.697770e-01   2.433900e-13   9.433586e-05   1.523229e-14   408
  2.703542e-01   2.316405e-13   2.890096e-04   2.181621e-14   168
  2.710765e-01   3.515544e-13   1.372821e-04   2.584709e-14   288
  2.716826e-01   3.081428e-13   1.432656e-04   2.480853e-14   288
  2.723035e-01   1.873050e-13   1.440903e-04   1.042081e-14   432
  2.732042e-01   2.559615e-13   1.362614e-04   1.996178e-14   216
  2.736854e-01   2.360951e-13   1.359739e-04   1.800440e-14   360
  2.745421e-01   2.322420e-13   1.327092e-04   1.877157e-14   312
  2.753154e-01   3.994940e-13   0.000000e+00   5.237192e-14   48
  2.757611e-01   2.422258e-13   1.422834e-04   1.454649e-14   432
  2.765594e-01   2.203577e-13   2.373302e-04   1.220320e-14   414
  2.770308e-01   3.009616e-13   0.000000e+00   2.202536e-14   312
  2.779102e-01   2.736852e-13   2.082441e-04   1.980611e-14   528
  2.785037e-01   3.199581e-13   1.093105e-04   2.589854e-14   264
  2.792167e-01   2.474965e-13   1.296122e-04   1.615140e-14   480
  2.801483e-01   2.364059e-13   0.000000e+00   1.736731e-14   288
  2.805506e-01   2.162976e-13   1.392643e-04   1.873188e-14   168
  2.812867e-01   2.886019e-13   2.204550e-04   1.851118e-14   504
  2.821143e-01   3.462192e-13   3.390842e-09   3.611898e-14   144
  2.826350e-01   2.073904e-13   1.415850e-04   1.201867e-14   464
  2.834173e-01   2.119446e-13   2.077839e-04   1.314438e-14   432
  2.837886e-01   2.351806e-13   0.000000e+00   2.662914e-14   192
  2.847481e-01   2.330080e-13   1.540373e-04   2.382857e-14   396
  2.853147e-01   1.565805e-13   1.383680e-04   1.187954e-14   288
  2.858874e-01   1.905323e-13   1.366839e-04   1.468858e-14   336
  2.868021e-01   2.047475e-13   8.655099e-05   1.468713e-14   432
  2.873827e-01   1.806929e-13   2.243281e-04   1.041844e-14   360
  2.880345e-01   1.876084e-13   1.326934e-04   1.017555e-14   384
  2.889603e-01   1.873733e-13   1.171274e-04   1.782021e-14   198
  2.894063e-01   1.680456e-13   1.331357e-04   8.522357e-15   552
  2.902381e-01   2.401876e-13   1.863809e-04   1.628985e-14   432
  2.909325e-01   2.085574e-13   4.110321e-09   1.867971e-14   168
  2.915153e-01   2.474779e-13   2.310442e-04   1.734396e-14   480
  2.922863e-01   2.130106e-13   4.069010e-09   1.875540e-14   120
  2.926334e-01   2.265012e-13   1.887069e-04   1.542134e-14   336
  2.934802e-01   1.988806e-13   1.331298e-04   1.120770e-14   672
  2.943175e-01   2.124965e-13   1.936554e-04   1.226991e-14   528
  2.947075e-01   1.115915e-13   0.000000e+00   9.941453e-15   168
  2.956085e-01   1.895383e-13   2.160213e-04   1.178471e-14   456
  2.961583e-01   2.854232e-13   1.319260e-04   4.042459e-14   168
  2.967291e-01   1.857887e-13   1.316892e-04   1.104594e-14   504
  2.976778e-01   1.580602e-13   1.694638e-04   1.386802e-14   336
  2.982515e-01   1.935540e-13   1.221633e-04   1.778518e-14   312
  2.988879e-01   1.968899e-13   1.193619e-04   1.258847e-14   504
  2.997254e-01   1.776737e-13   8.281656e-05   1.002287e-14   432
  3.001192e-01   1.531728e-13   1.279790e-04   1.233242e-14   312
  3.009377e-01   1.557709e-13   1.311847e-04   9.125227e-15   384
  3.017923e-01   2.901942e-13   1.114566e-04   3.357091e-14   126
  3.023199e-01   1.995654e-13   1.956913e-04   1.330913e-14   492
  3.029938e-01   2.254628e-13   1.253405e-04   1.586272e-14   528
  3.038360e-01   1.703094e-13   1.273190e-04   1.127794e-14   480
  3.043581e-01   2.085417e-13   1.758905e-04   1.376510e-14   432
  3.051137e-01   1.726221e-13   1.383146e-04   1.240160e-14   440
  3.059913e-01   1.980087e-13   6.878330e-05   1.723952e-14   312
  3.063206e-01   1.611587e-13   1.030775e-04   9.707290e-15   480
  3.069960e-01   1.499041e-13   2.018238e-04   8.405997e-15   408
  3.079829e-01   2.034176e-13   1.208696e-04   1.371517e-14   360
  3.083998e-01   1.595452e-13   1.166348e-04   1.048624e-14   408
  3.091725e-01   1.666721e-13   1.186907e-04   1.260087e-14   456
  3.100425e-01   1.727889e-13   1.134390e-04   1.326446e-14   264
  3.105254e-01   1.615292e-13   1.231098e-04   9.672703e-15   384
  3.112283e-01   1.346882e-13   2.072640e-04   6.379291e-15   672
  3.120409e-01   2.149770e-13   1.239707e-04   1.907193e-14   240
  3.125099e-01   1.361941e-13   1.257992e-04   9.320649e-15   264
  3.131717e-01   1.111193e-13   1.551526e-04   5.964803e-15   624
  3.141593e-01   1.344252e-13   0.000000e+00   1.959107e-14   150
  3.145109e-01   1.903125e-13   1.738607e-04   1.013773e-14   600
  3.152524e-01   2.201392e-13   1.199942e-04   1.520762e-14   672
  3.160921e-01   1.476871e-13   1.128630e-04   1.005948e-14   336
  3.165599e-01   1.852755e-13   1.227621e-04   1.279881e-14   408
  3.173072e-01   1.638313e-13   1.224729e-04   1.183850e-14   408
  3.181385e-01   1.781029e-13   6.192886e-05   1.305563e-14   360
  3.186510e-01   1.648529e-13   2.273829e-04   1.242519e-14   456
  3.192699e-01   1.583151e-13   1.236522e-04   1.119561e-14   384
  3.200577e-01   9.439038e-14   1.141466e-04   5.936623e-15   348
  3.204835e-01   1.847980e-13   1.407202e-04   1.141818e-14   576
  3.212832e-01   1.416839e-13   1.158646e-04   8.764190e-15   504
  3.221013e-01   1.467601e-13   1.634203e-04   8.948816e-15   432
  3.228154e-01   1.600599e-13   2.223325e-04   9.865115e-15   576
  3.233247e-01   1.152918e-13   5.231318e-09   1.125269e-14   264
  3.241325e-01   1.313768e-13   1.769212e-04   5.799653e-15   768
  3.248351e-01   8.381834e-14   2.381921e-04   5.294936e-15   240
  3.253937e-01   1.334699e-13   2.100629e-04   1.370378e-14   192
  3.262073e-01   1.144092e-13   1.546319e-04   7.156855e-15   504
  3.268108e-01   1.569248e-13   2.083724e-04   8.362951e-15   590
  3.273894e-01   1.748628e-13   2.334698e-04   1.947888e-14   384
  3.281151e-01   1.451790e-13   1.951120e-04   1.033218e-14   504
  3.289911e-01   1.555855e-13   1.877651e-04   1.062894e-14   648
  3.298409e-01   1.256136e-13   5.099453e-05   9.791728e-15   504
  3.301835e-01   1.420417e-13   1.163281e-04   1.340946e-14   312
  3.307884e-01   1.629749e-13   1.676002e-04   9.028023e-15   576
  3.316189e-01   1.493477e-13   1.166339e-04   1.212285e-14   240
  3.321030e-01   1.061689e-13   1.178530e-04   6.041401e-15   552
  3.327882e-01   1.447906e-13   1.106612e-04   9.374683e-15   600
  3.337643e-01   1.255676e-13   1.351639e-04   1.043883e-14   600
  3.343511e-01   1.054493e-13   2.164544e-04   8.521277e-15   312
  3.349356e-01   1.379264e-13   1.885103e-04   9.027992e-15   480
  3.356656e-01   9.994325e-14   1.176123e-04   5.943962e-15   576
  3.363084e-01   1.329569e-13   1.893814e-04   9.858768e-15   408
  3.368787e-01   6.204200e-14   2.209222e-04   5.220347e-15   216
  3.376156e-01   1.090084e-13   1.692015e-04   5.875290e-15   516
  3.384050e-01   1.154733e-13   1.614354e-04   6.543403e-15   744
  3.392194e-01   1.399752e-13   1.078246e-04   8.823159e-15   462
  3.396796e-01   1.187966e-13   1.095881e-04   1.030182e-14   432
  3.403934e-01   1.457699e-13   1.016670e-04   1.145951e-14   648
  3.412327e-01   1.466268e-13   1.487578e-04   1.351720e-14   528
  3.419069e-01   1.266123e-13   1.791415e-04   7.712603e-15   600
