# background statistics
# All the values except 'a' and 'T00' are computed in the hiclass.
# The quantities rho_x, rho_x_prime are in unit of hiclass, T00 is in the k-evolution code's unit
# Constant values at end of file:
# fourpiG   =             4.172438e-02
# H0[1/Mpc] =             2.253426e-04

# 0:cycle      1:tau/boxsize            2:a                      3:z                      4:H [1/Mpc]              5:Hconf                  6:Hconf_prime            7:Hconf_prime_prime      8:rho_cdm                9:rho_b                  10:rho_g                 11:rho_ur                12:rho_crit              13:rho_smg               14:p_smg                 15:rho_smg_prime         16:p_smg_prime           17:alpha_K               18:alpha_B               19:alpha_K_prime         20:alpha_B_prime         21:cs2                   22:cs2num                23:kin (D)               24:phi(k=0)              25:T00_hom               26:T00_KGB_hom          
 0               1.799567e+00             9.900990e-03             1.000000e+02             1.296539e-01             9.501019e-01             -4.643421e-01            4.659120e-01             1.379994e-02             2.525670e-03             2.863185e-04             1.980662e-04             1.681013e-02             1.394711e-07             -1.255240e-07            -5.371180e-11            4.834062e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.525201e-08            -2.857560e-01            3.000000e+06             0.000000e+00             3.120460e-01             -7.014492e-22           
 1               1.810092e+00             1.000024e-02             9.899760e+01             1.277103e-01             9.452403e-01             -4.594782e-01            4.584283e-01             1.339312e-02             2.451214e-03             2.751199e-04             1.903194e-04             1.630991e-02             1.390544e-07             -1.251490e-07            -5.327730e-11            4.794957e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.523342e-08            -2.857003e-01            3.000000e+06             1.057786e-10             3.120460e-01             1.497660e-19            
 2               1.820671e+00             1.010049e-02             9.800514e+01             1.257959e-01             9.404048e-01             -4.546670e-01            4.511750e-01             1.299829e-02             2.378952e-03             2.643594e-04             1.828756e-04             1.582462e-02             1.386389e-07             -1.247750e-07            -5.284639e-11            4.756175e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.521500e-08            -2.856450e-01            3.000000e+06             2.281488e-10             3.120460e-01             -1.406901e-09           
 3               1.831305e+00             1.020174e-02             9.702253e+01             1.239105e-01             9.355954e-01             -4.499089e-01            4.437354e-01             1.261510e-02             2.308821e-03             2.540198e-04             1.757230e-04             1.535380e-02             1.382247e-07             -1.244022e-07            -5.241903e-11            4.717713e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.519676e-08            -2.855903e-01            3.000000e+06             3.518769e-10             3.120460e-01             -1.661276e-09           
 4               1.841993e+00             1.030400e-02             9.604968e+01             1.220534e-01             9.308118e-01             -4.452026e-01            4.368717e-01             1.224321e-02             2.240757e-03             2.440845e-04             1.688501e-04             1.489704e-02             1.378117e-07             -1.240305e-07            -5.199520e-11            4.679568e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.517868e-08            -2.855361e-01            3.000000e+06             4.741563e-10             3.120460e-01             -1.718373e-09           
 5               1.852737e+00             1.040729e-02             9.508648e+01             1.202244e-01             9.260539e-01             -4.405478e-01            4.296856e-01             1.188228e-02             2.174700e-03             2.345378e-04             1.622460e-04             1.445390e-02             1.374000e-07             -1.236600e-07            -5.157487e-11            4.641738e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.516078e-08            -2.854823e-01            3.000000e+06             5.944815e-10             3.120460e-01             -1.738587e-09           
 6               1.863535e+00             1.051162e-02             9.413284e+01             1.184229e-01             9.213216e-01             -4.359441e-01            4.229906e-01             1.153199e-02             2.110590e-03             2.253646e-04             1.559002e-04             1.402398e-02             1.369894e-07             -1.232905e-07            -5.115800e-11            4.604220e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.514303e-08            -2.854291e-01            3.000000e+06             7.128057e-10             3.120460e-01             -1.751616e-09           
 7               1.874389e+00             1.061699e-02             9.318866e+01             1.166486e-01             9.166147e-01             -4.313903e-01            4.161851e-01             1.119203e-02             2.048370e-03             2.165501e-04             1.498026e-04             1.360689e-02             1.365801e-07             -1.229221e-07            -5.074456e-11            4.567011e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.512545e-08            -2.853764e-01            3.000000e+06             8.291703e-10             3.120460e-01             -1.763394e-09           
 8               1.885299e+00             1.072342e-02             9.225385e+01             1.149010e-01             9.119330e-01             -4.268866e-01            4.095202e-01             1.086209e-02             1.987984e-03             2.080803e-04             1.439435e-04             1.320223e-02             1.361720e-07             -1.225548e-07            -5.033454e-11            4.530108e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.510803e-08            -2.853241e-01            3.000000e+06             9.436320e-10             3.120460e-01             -1.775082e-09           
 9               1.896265e+00             1.083091e-02             9.132832e+01             1.131797e-01             9.072763e-01             -4.224315e-01            4.030776e-01             1.054187e-02             1.929378e-03             1.999418e-04             1.383135e-04             1.280964e-02             1.357652e-07             -1.221887e-07            -4.992789e-11            4.493510e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.509078e-08            -2.852724e-01            3.000000e+06             1.056248e-09             3.120460e-01             -1.786889e-09           
 10              1.907287e+00             1.093949e-02             9.041198e+01             1.114843e-01             9.026446e-01             -4.180253e-01            3.964497e-01             1.023110e-02             1.872500e-03             1.921216e-04             1.329038e-04             1.242876e-02             1.353595e-07             -1.218236e-07            -4.952459e-11            4.457213e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.507368e-08            -2.852211e-01            3.000000e+06             1.167073e-09             3.120460e-01             -1.798842e-09           
 11              1.918365e+00             1.104915e-02             8.950473e+01             1.098145e-01             8.980377e-01             -4.136668e-01            3.903530e-01             9.929486e-03             1.817299e-03             1.846073e-04             1.277056e-04             1.205923e-02             1.349551e-07             -1.214596e-07            -4.912461e-11            4.421215e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.505674e-08            -2.851702e-01            3.000000e+06             1.276161e-09             3.120460e-01             -1.810939e-09           
 12              1.929501e+00             1.115991e-02             8.860648e+01             1.081699e-01             8.934554e-01             -4.093557e-01            3.839659e-01             9.636764e-03             1.763725e-03             1.773869e-04             1.227107e-04             1.170072e-02             1.345519e-07             -1.210967e-07            -4.872792e-11            4.385513e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.503996e-08            -2.851199e-01            3.000000e+06             1.383565e-09             3.120460e-01             -1.823172e-09           
 13              1.940693e+00             1.127178e-02             8.771715e+01             1.065500e-01             8.888977e-01             -4.050917e-01            3.780011e-01             9.352672e-03             1.711730e-03             1.704489e-04             1.179112e-04             1.135290e-02             1.341498e-07             -1.207349e-07            -4.833449e-11            4.350104e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.502333e-08            -2.850700e-01            3.000000e+06             1.489334e-09             3.120460e-01             -1.835537e-09           
 14              1.951943e+00             1.138477e-02             8.683664e+01             1.049545e-01             8.843642e-01             -4.008735e-01            3.719521e-01             9.076954e-03             1.661268e-03             1.637822e-04             1.132994e-04             1.101544e-02             1.337490e-07             -1.203741e-07            -4.794430e-11            4.314987e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.500686e-08            -2.850206e-01            3.000000e+06             1.593517e-09             3.120460e-01             -1.848030e-09           
 15              1.963251e+00             1.149890e-02             8.596487e+01             1.033830e-01             8.798550e-01             -3.967016e-01            3.660121e-01             8.809365e-03             1.612293e-03             1.573763e-04             1.088680e-04             1.068804e-02             1.333494e-07             -1.200145e-07            -4.755732e-11            4.280159e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.499053e-08            -2.849716e-01            3.000000e+06             1.696164e-09             3.120460e-01             -1.860650e-09           
 16              1.974616e+00             1.161417e-02             8.510176e+01             1.018351e-01             8.753698e-01             -3.925745e-01            3.602854e-01             8.549663e-03             1.564763e-03             1.512209e-04             1.046099e-04             1.037039e-02             1.329510e-07             -1.196559e-07            -4.717352e-11            4.245617e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.497436e-08            -2.849231e-01            3.000000e+06             1.797319e-09             3.120460e-01             -1.873395e-09           
 17              1.986040e+00             1.173059e-02             8.424720e+01             1.003106e-01             8.709085e-01             -3.884924e-01            3.543764e-01             8.297618e-03             1.518633e-03             1.453063e-04             1.005184e-04             1.006221e-02             1.325537e-07             -1.192984e-07            -4.679287e-11            4.211359e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.495834e-08            -2.848750e-01            3.000000e+06             1.897030e-09             3.120460e-01             -1.886265e-09           
 18              1.997522e+00             1.184818e-02             8.340113e+01             9.880895e-02             8.664709e-01             -3.844543e-01            3.489570e-01             8.053003e-03             1.473864e-03             1.396230e-04             9.658685e-05             9.763209e-03             1.321577e-07             -1.189419e-07            -4.641535e-11            4.177382e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.494246e-08            -2.848274e-01            3.000000e+06             1.995340e-09             3.120460e-01             -1.899260e-09           
 19              2.009063e+00             1.196695e-02             8.256346e+01             9.732993e-02             8.620570e-01             -3.804598e-01            3.432763e-01             7.815599e-03             1.430414e-03             1.341620e-04             9.280909e-05             9.473116e-03             1.317628e-07             -1.185865e-07            -4.604093e-11            4.143684e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.492673e-08            -2.847802e-01            3.000000e+06             2.092292e-09             3.120460e-01             -1.912381e-09           
 20              2.020663e+00             1.208691e-02             8.173410e+01             9.587316e-02             8.576666e-01             -3.765087e-01            3.379581e-01             7.585194e-03             1.388245e-03             1.289146e-04             8.917910e-05             9.191664e-03             1.313691e-07             -1.182322e-07            -4.566958e-11            4.110262e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.491115e-08            -2.847335e-01            3.000000e+06             2.187930e-09             3.120460e-01             -1.925627e-09           
 21              2.032323e+00             1.220808e-02             8.091297e+01             9.443831e-02             8.532996e-01             -3.726000e-01            3.325779e-01             7.361580e-03             1.347319e-03             1.238724e-04             8.569108e-05             8.918594e-03             1.309766e-07             -1.178789e-07            -4.530128e-11            4.077115e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.489570e-08            -2.846871e-01            3.000000e+06             2.282295e-09             3.120460e-01             -1.938999e-09           
 22              2.044042e+00             1.233046e-02             8.009999e+01             9.302503e-02             8.489557e-01             -3.687338e-01            3.272801e-01             7.144559e-03             1.307600e-03             1.190274e-04             8.233948e-05             8.653657e-03             1.305853e-07             -1.175267e-07            -4.493600e-11            4.044240e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.488041e-08            -2.846412e-01            3.000000e+06             2.375427e-09             3.120460e-01             -1.952499e-09           
 23              2.055821e+00             1.245406e-02             7.929508e+01             9.163301e-02             8.446349e-01             -3.649089e-01            3.221864e-01             6.933936e-03             1.269052e-03             1.143720e-04             7.911897e-05             8.396609e-03             1.301951e-07             -1.171756e-07            -4.457372e-11            4.011635e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.486525e-08            -2.845958e-01            3.000000e+06             2.467366e-09             3.120460e-01             -1.966127e-09           
 24              2.067661e+00             1.257891e-02             7.849816e+01             9.026192e-02             8.403370e-01             -3.611255e-01            3.169146e-01             6.729522e-03             1.231640e-03             1.098986e-04             7.602442e-05             8.147214e-03             1.298061e-07             -1.168255e-07            -4.421440e-11            3.979296e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.485023e-08            -2.845507e-01            3.000000e+06             2.558150e-09             3.120460e-01             -1.979884e-09           
 25              2.079561e+00             1.270500e-02             7.770914e+01             8.891144e-02             8.360620e-01             -3.573828e-01            3.120941e-01             6.531133e-03             1.195331e-03             1.056002e-04             7.305090e-05             7.905245e-03             1.294182e-07             -1.164764e-07            -4.385804e-11            3.947223e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.483535e-08            -2.845061e-01            3.000000e+06             2.647819e-09             3.120460e-01             -1.993772e-09           
 26              2.091522e+00             1.283236e-02             7.692796e+01             8.758127e-02             8.318096e-01             -3.536801e-01            3.070383e-01             6.338594e-03             1.160092e-03             1.014699e-04             7.019369e-05             7.670478e-03             1.290315e-07             -1.161284e-07            -4.350459e-11            3.915413e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.482060e-08            -2.844618e-01            3.000000e+06             2.736408e-09             3.120460e-01             -2.007790e-09           
 27              2.103544e+00             1.296100e-02             7.615453e+01             8.627108e-02             8.275797e-01             -3.500176e-01            3.022934e-01             6.151730e-03             1.125892e-03             9.750110e-05             6.744823e-05             7.442700e-03             1.286460e-07             -1.157814e-07            -4.315404e-11            3.883863e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.480599e-08            -2.844180e-01            3.000000e+06             2.823955e-09             3.120460e-01             -2.021942e-09           
 28              2.115627e+00             1.309093e-02             7.538877e+01             8.498059e-02             8.233723e-01             -3.463941e-01            2.975048e-01             5.970375e-03             1.092700e-03             9.368757e-05             6.481014e-05             7.221701e-03             1.282616e-07             -1.154355e-07            -4.280635e-11            3.852572e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.479151e-08            -2.843746e-01            3.000000e+06             2.910494e-09             3.120460e-01             -2.036227e-09           
 29              2.127772e+00             1.322216e-02             7.463062e+01             8.370950e-02             8.191871e-01             -3.428099e-01            2.927767e-01             5.794366e-03             1.060487e-03             9.002320e-05             6.227524e-05             7.007280e-03             1.278784e-07             -1.150906e-07            -4.246152e-11            3.821537e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.477717e-08            -2.843315e-01            3.000000e+06             2.996061e-09             3.120460e-01             -2.050646e-09           
 30              2.139979e+00             1.335470e-02             7.387999e+01             8.245750e-02             8.150240e-01             -3.392638e-01            2.882431e-01             5.623546e-03             1.029224e-03             8.650214e-05             5.983949e-05             6.799239e-03             1.274963e-07             -1.147467e-07            -4.211951e-11            3.790756e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.476296e-08            -2.842889e-01            3.000000e+06             3.080690e-09             3.120460e-01             -2.065203e-09           
 31              2.152249e+00             1.348858e-02             7.313680e+01             8.122431e-02             8.108830e-01             -3.357559e-01            2.835367e-01             5.457762e-03             9.988818e-04             8.311881e-05             5.749900e-05             6.597389e-03             1.271154e-07             -1.144038e-07            -4.178029e-11            3.760226e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.474887e-08            -2.842466e-01            3.000000e+06             3.164413e-09             3.120460e-01             -2.079896e-09           
 32              2.164581e+00             1.362379e-02             7.240100e+01             8.000965e-02             8.067638e-01             -3.322855e-01            2.792462e-01             5.296865e-03             9.694344e-04             7.986780e-05             5.525006e-05             6.401544e-03             1.267356e-07             -1.140620e-07            -4.144385e-11            3.729947e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.473492e-08            -2.842048e-01            3.000000e+06             3.247264e-09             3.120460e-01             -2.094728e-09           
 33              2.176976e+00             1.376036e-02             7.167250e+01             7.881323e-02             8.026664e-01             -3.288522e-01            2.747437e-01             5.140711e-03             9.408551e-04             7.674395e-05             5.308907e-05             6.211526e-03             1.263569e-07             -1.137212e-07            -4.111017e-11            3.699915e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.472109e-08            -2.841633e-01            3.000000e+06             3.329275e-09             3.120460e-01             -2.109701e-09           
 34              2.189435e+00             1.389830e-02             7.095122e+01             7.763479e-02             7.985906e-01             -3.254559e-01            2.705075e-01             4.989161e-03             9.131183e-04             7.374228e-05             5.101261e-05             6.027160e-03             1.259793e-07             -1.133814e-07            -4.077921e-11            3.670129e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.470739e-08            -2.841222e-01            3.000000e+06             3.410476e-09             3.120460e-01             -2.124814e-09           
 35              2.201957e+00             1.403763e-02             7.023711e+01             7.647404e-02             7.945363e-01             -3.220955e-01            2.662429e-01             4.842078e-03             8.861991e-04             7.085801e-05             4.901736e-05             5.848278e-03             1.256029e-07             -1.130426e-07            -4.045096e-11            3.640586e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.469382e-08            -2.840815e-01            3.000000e+06             3.490899e-09             3.120460e-01             -2.140070e-09           
 36              2.214543e+00             1.417835e-02             6.953008e+01             7.533072e-02             7.905034e-01             -3.187714e-01            2.620205e-01             4.699332e-03             8.600736e-04             6.808655e-05             4.710015e-05             5.674717e-03             1.252276e-07             -1.127049e-07            -4.012538e-11            3.611285e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.468036e-08            -2.840411e-01            3.000000e+06             3.570573e-09             3.120460e-01             -2.155470e-09           
 37              2.227193e+00             1.432048e-02             6.883007e+01             7.420457e-02             7.864918e-01             -3.154825e-01            2.579829e-01             4.560793e-03             8.347182e-04             6.542349e-05             4.525793e-05             5.506318e-03             1.248535e-07             -1.123681e-07            -3.980247e-11            3.582223e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.466703e-08            -2.840011e-01            3.000000e+06             3.649528e-09             3.120460e-01             -2.171016e-09           
 38              2.239908e+00             1.446403e-02             6.813700e+01             7.309532e-02             7.825012e-01             -3.122289e-01            2.537787e-01             4.426339e-03             8.101103e-04             6.286459e-05             4.348776e-05             5.342926e-03             1.244804e-07             -1.120324e-07            -3.948220e-11            3.553398e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.465382e-08            -2.839615e-01            3.000000e+06             3.727792e-09             3.120460e-01             -2.186708e-09           
 39              2.252687e+00             1.460903e-02             6.745082e+01             7.200273e-02             7.785317e-01             -3.090100e-01            2.499575e-01             4.295848e-03             7.862279e-04             6.040577e-05             4.178683e-05             5.184393e-03             1.241085e-07             -1.116976e-07            -3.916454e-11            3.524809e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.464073e-08            -2.839222e-01            3.000000e+06             3.805394e-09             3.120460e-01             -2.202548e-09           
 40              2.265532e+00             1.475548e-02             6.677144e+01             7.092653e-02             7.745831e-01             -3.058252e-01            2.459455e-01             4.169204e-03             7.630495e-04             5.804312e-05             4.015242e-05             5.030573e-03             1.237377e-07             -1.113639e-07            -3.884948e-11            3.496453e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.462776e-08            -2.838833e-01            3.000000e+06             3.882361e-09             3.120460e-01             -2.218538e-09           
 41              2.278442e+00             1.490339e-02             6.609881e+01             6.986649e-02             7.706552e-01             -3.026746e-01            2.421611e-01             4.046294e-03             7.405544e-04             5.577288e-05             3.858194e-05             4.881327e-03             1.233679e-07             -1.110312e-07            -3.853698e-11            3.468328e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.461490e-08            -2.838447e-01            3.000000e+06             3.958720e-09             3.120460e-01             -2.234678e-09           
 42              2.291418e+00             1.505279e-02             6.543285e+01             6.882236e-02             7.667480e-01             -2.995572e-01            2.383610e-01             3.927007e-03             7.187224e-04             5.359144e-05             3.707289e-05             4.736517e-03             1.229993e-07             -1.106994e-07            -3.822704e-11            3.440434e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.460216e-08            -2.838065e-01            3.000000e+06             4.034499e-09             3.120460e-01             -2.250970e-09           
 43              2.304460e+00             1.520369e-02             6.477350e+01             6.779389e-02             7.628613e-01             -2.964734e-01            2.345879e-01             3.811237e-03             6.975341e-04             5.149532e-05             3.562286e-05             4.596012e-03             1.226318e-07             -1.103686e-07            -3.791962e-11            3.412766e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.458953e-08            -2.837686e-01            3.000000e+06             4.109722e-09             3.120460e-01             -2.267416e-09           
 44              2.317569e+00             1.535610e-02             6.412070e+01             6.678086e-02             7.589950e-01             -2.934220e-01            2.309899e-01             3.698879e-03             6.769704e-04             4.948118e-05             3.422954e-05             4.459683e-03             1.222654e-07             -1.100389e-07            -3.761472e-11            3.385325e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.457702e-08            -2.837311e-01            3.000000e+06             4.184415e-09             3.120460e-01             -2.284017e-09           
 45              2.330744e+00             1.551004e-02             6.347437e+01             6.578302e-02             7.551490e-01             -2.904032e-01            2.272322e-01             3.589834e-03             6.570129e-04             4.754583e-05             3.289072e-05             4.327406e-03             1.219001e-07             -1.097101e-07            -3.731229e-11            3.358107e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.456462e-08            -2.836939e-01            3.000000e+06             4.258604e-09             3.120460e-01             -2.300775e-09           
 46              2.343986e+00             1.566552e-02             6.283446e+01             6.480015e-02             7.513232e-01             -2.874164e-01            2.238270e-01             3.484004e-03             6.376438e-04             4.568616e-05             3.160427e-05             4.199060e-03             1.215359e-07             -1.093823e-07            -3.701234e-11            3.331110e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.455233e-08            -2.836570e-01            3.000000e+06             4.332312e-09             3.120460e-01             -2.317690e-09           
 47              2.357296e+00             1.582256e-02             6.220090e+01             6.383203e-02             7.475175e-01             -2.844612e-01            2.202500e-01             3.381293e-03             6.188457e-04             4.389924e-05             3.036813e-05             4.074528e-03             1.211727e-07             -1.090555e-07            -3.671483e-11            3.304334e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.454015e-08            -2.836205e-01            3.000000e+06             4.405564e-09             3.120460e-01             -2.334764e-09           
 48              2.370674e+00             1.598117e-02             6.157363e+01             6.287842e-02             7.437317e-01             -2.815376e-01            2.168673e-01             3.281611e-03             6.006017e-04             4.218221e-05             2.918034e-05             3.953696e-03             1.208107e-07             -1.087296e-07            -3.641974e-11            3.277777e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.452808e-08            -2.835842e-01            3.000000e+06             4.478384e-09             3.120460e-01             -2.352000e-09           
 49              2.384120e+00             1.614138e-02             6.095258e+01             6.193912e-02             7.399657e-01             -2.786447e-01            2.134792e-01             3.184867e-03             5.828956e-04             4.053233e-05             2.803900e-05             3.836454e-03             1.204497e-07             -1.084047e-07            -3.612706e-11            3.251435e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.451611e-08            -2.835484e-01            3.000000e+06             4.550793e-09             3.120460e-01             -2.369398e-09           
 50              2.397634e+00             1.630319e-02             6.033770e+01             6.101390e-02             7.362194e-01             -2.757827e-01            2.101056e-01             3.090975e-03             5.657115e-04             3.894698e-05             2.694231e-05             3.722696e-03             1.200898e-07             -1.080808e-07            -3.583675e-11            3.225308e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.450425e-08            -2.835128e-01            3.000000e+06             4.622816e-09             3.120460e-01             -2.386959e-09           
 51              2.411217e+00             1.646662e-02             5.972892e+01             6.010255e-02             7.324928e-01             -2.729508e-01            2.068977e-01             2.999851e-03             5.490339e-04             3.742365e-05             2.588851e-05             3.612317e-03             1.197310e-07             -1.077579e-07            -3.554882e-11            3.199394e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.449249e-08            -2.834775e-01            3.000000e+06             4.694473e-09             3.120460e-01             -2.404686e-09           
 52              2.424869e+00             1.663169e-02             5.912618e+01             5.920487e-02             7.287856e-01             -2.701489e-01            2.035372e-01             2.911413e-03             5.328481e-04             3.595989e-05             2.487593e-05             3.505217e-03             1.193732e-07             -1.074359e-07            -3.526323e-11            3.173690e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.448084e-08            -2.834426e-01            3.000000e+06             4.765788e-09             3.120460e-01             -2.422579e-09           
 53              2.438590e+00             1.679842e-02             5.852943e+01             5.832065e-02             7.250979e-01             -2.673767e-01            2.005011e-01             2.825583e-03             5.171393e-04             3.455338e-05             2.390296e-05             3.401298e-03             1.190166e-07             -1.071149e-07            -3.497996e-11            3.148196e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.446929e-08            -2.834079e-01            3.000000e+06             4.836781e-09             3.120460e-01             -2.440641e-09           
 54              2.452381e+00             1.696681e-02             5.793859e+01             5.744967e-02             7.214294e-01             -2.646336e-01            1.973102e-01             2.742283e-03             5.018937e-04             3.320189e-05             2.296803e-05             3.300465e-03             1.186609e-07             -1.067949e-07            -3.469900e-11            3.122910e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.445785e-08            -2.833736e-01            3.000000e+06             4.907473e-09             3.120460e-01             -2.458872e-09           
 55              2.466243e+00             1.713690e-02             5.735362e+01             5.659176e-02             7.177801e-01             -2.619198e-01            1.942848e-01             2.661438e-03             4.870975e-04             3.190326e-05             2.206968e-05             3.202627e-03             1.183064e-07             -1.064758e-07            -3.442032e-11            3.097829e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.444650e-08            -2.833395e-01            3.000000e+06             4.977885e-09             3.120460e-01             -2.477275e-09           
 56              2.480175e+00             1.730869e-02             5.677446e+01             5.574670e-02             7.141498e-01             -2.592343e-01            1.912624e-01             2.582977e-03             4.727375e-04             3.065542e-05             2.120647e-05             3.107695e-03             1.179529e-07             -1.061576e-07            -3.414391e-11            3.072952e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.443525e-08            -2.833058e-01            3.000000e+06             5.048037e-09             3.120460e-01             -2.495851e-09           
 57              2.494177e+00             1.748220e-02             5.620104e+01             5.491431e-02             7.105385e-01             -2.565775e-01            1.882446e-01             2.506829e-03             4.588009e-04             2.945639e-05             2.037701e-05             3.015581e-03             1.176005e-07             -1.058404e-07            -3.386974e-11            3.048277e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.442409e-08            -2.832723e-01            3.000000e+06             5.117950e-09             3.120460e-01             -2.514601e-09           
 58              2.508251e+00             1.765745e-02             5.563331e+01             5.409439e-02             7.069460e-01             -2.539484e-01            1.853829e-01             2.432926e-03             4.452751e-04             2.830425e-05             1.958000e-05             2.926203e-03             1.172491e-07             -1.055242e-07            -3.359781e-11            3.023803e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.441304e-08            -2.832391e-01            3.000000e+06             5.187642e-09             3.120460e-01             -2.533527e-09           
 59              2.522396e+00             1.783446e-02             5.507122e+01             5.328675e-02             7.033722e-01             -2.513471e-01            1.823776e-01             2.361202e-03             4.321481e-04             2.719718e-05             1.881416e-05             2.839478e-03             1.168988e-07             -1.052089e-07            -3.332809e-11            2.999528e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.440208e-08            -2.832062e-01            3.000000e+06             5.257132e-09             3.120460e-01             -2.552631e-09           
 60              2.536614e+00             1.801324e-02             5.451471e+01             5.249122e-02             6.998171e-01             -2.487733e-01            1.796675e-01             2.291592e-03             4.194080e-04             2.613341e-05             1.807828e-05             2.755328e-03             1.165495e-07             -1.048945e-07            -3.306055e-11            2.975450e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.439121e-08            -2.831736e-01            3.000000e+06             5.326440e-09             3.120460e-01             -2.571915e-09           
 61              2.550903e+00             1.819382e-02             5.396372e+01             5.170760e-02             6.962805e-01             -2.462264e-01            1.768198e-01             2.224034e-03             4.070435e-04             2.511125e-05             1.737118e-05             2.673676e-03             1.162012e-07             -1.045811e-07            -3.279520e-11            2.951568e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.438043e-08            -2.831413e-01            3.000000e+06             5.395584e-09             3.120460e-01             -2.591379e-09           
