# cross power spectrum of delta_m and  delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.299875e-01   1.023790e-02   0.000000e+00   1.003053e-03   72
  1.310112e-01   8.330809e-03   2.784031e-04   7.123919e-04   104
  1.317972e-01   1.146940e-02   2.397687e-09   9.809329e-04   144
  1.335824e-01   1.379233e-02   4.021044e-09   1.500226e-03   96
  1.341721e-01   9.272151e-03   0.000000e+00   1.053700e-03   96
  1.351101e-01   9.015970e-03   2.864148e-04   8.633041e-04   120
  1.359261e-01   9.734796e-03   0.000000e+00   1.070706e-03   120
  1.365057e-01   1.309813e-02   0.000000e+00   1.317204e-03   72
  1.376577e-01   1.488436e-02   0.000000e+00   1.869107e-03   48
  1.382301e-01   8.849976e-03   2.710666e-09   8.762799e-04   78
  1.389623e-01   9.611113e-03   2.564571e-04   7.188537e-04   168
  1.404963e-01   1.178780e-02   2.397687e-09   1.202231e-03   144
  1.410572e-01   1.404748e-02   2.397687e-09   1.042680e-03   144
  1.426839e-01   1.259819e-02   1.476986e-04   9.871967e-04   156
  1.432787e-01   1.025360e-02   3.114687e-09   1.340409e-03   48
  1.438287e-01   1.114306e-02   2.034505e-09   1.092156e-03   120
  1.443766e-01   1.269414e-02   0.000000e+00   1.772700e-03   48
  1.453454e-01   9.903119e-03   2.260797e-04   6.706472e-04   216
  1.465478e-01   1.017688e-02   0.000000e+00   1.612709e-03   48
  1.470856e-01   9.190318e-03   1.798266e-09   1.211308e-03   96
  1.478502e-01   1.070865e-02   2.642094e-04   8.086282e-04   168
  1.486873e-01   9.230372e-03   1.798266e-09   1.239437e-03   48
  1.492174e-01   1.053823e-02   0.000000e+00   9.706562e-04   96
  1.497456e-01   7.753756e-03   0.000000e+00   1.022118e-03   48
  1.507964e-01   9.483611e-03   2.034505e-09   1.495004e-03   30
  1.513191e-01   1.289712e-02   1.798266e-09   1.264435e-03   96
  1.519439e-01   1.179529e-02   2.076451e-04   7.879735e-04   240
  1.527472e-01   1.071109e-02   2.240191e-04   2.291418e-03   32
  1.533921e-01   9.150889e-03   0.000000e+00   5.258537e-04   168
  1.539060e-01   1.222099e-02   0.000000e+00   9.744456e-04   120
  1.549286e-01   1.315835e-02   3.791077e-09   1.567785e-03   72
  1.554374e-01   1.129468e-02   2.397687e-09   8.128114e-04   144
  1.559446e-01   9.915176e-03   0.000000e+00   1.106790e-03   96
  1.564501e-01   1.030272e-02   0.000000e+00   1.120887e-03   96
  1.574562e-01   1.880889e-02   2.936555e-09   2.131476e-03   72
  1.579568e-01   1.113426e-02   2.543132e-09   1.479179e-03   96
  1.589534e-01   1.552351e-02   0.000000e+00   4.365539e-03   24
  1.594494e-01   1.305231e-02   0.000000e+00   9.173648e-04   192
  1.600334e-01   1.032664e-02   1.901066e-04   9.882761e-04   132
  1.609281e-01   8.654690e-03   0.000000e+00   8.003054e-04   96
  1.614180e-01   9.619525e-03   0.000000e+00   9.203554e-04   96
  1.619064e-01   1.099628e-02   2.034505e-09   1.041479e-03   120
  1.628788e-01   1.017974e-02   0.000000e+00   1.388549e-03   48
  1.636759e-01   1.274408e-02   2.303939e-04   8.629815e-04   222
  1.643266e-01   9.116393e-03   0.000000e+00   1.139298e-03   120
  1.648064e-01   8.733367e-03   3.114687e-09   1.737282e-03   24
  1.655050e-01   1.279794e-02   2.378000e-04   8.915691e-04   312
  1.670270e-01   1.435001e-02   2.229470e-04   1.572201e-03   72
  1.676563e-01   1.516332e-02   1.798266e-09   1.934904e-03   96
  1.683024e-01   1.201995e-02   2.270407e-04   1.040892e-03   192
  1.690632e-01   1.138079e-02   2.877225e-09   8.439611e-04   120
  1.695296e-01   1.328500e-02   0.000000e+00   1.222250e-03   144
  1.704585e-01   1.083363e-02   0.000000e+00   1.711691e-03   48
  1.711188e-01   1.191904e-02   2.282974e-04   6.611865e-04   336
